EmployeeKey,EmployeeNumber,Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DepartmentKey,JobRoleKey,EducationFieldKey,GenderKey,MaritalStatusKey,BusinessTravelKey,OverTimeKey,AttritionKey
197,269,35,138,2,3,2,37,3,2,2,4425,15986,5,11,3,4,0,10,5,3,6,2,1,2,2,3,3,1,1,2,2,2
198,270,42,926,21,2,3,36,3,2,3,5265,16439,2,16,3,2,1,11,5,3,5,3,0,2,2,4,3,1,3,3,2,2
199,271,38,1261,2,4,4,88,3,2,3,6553,7259,9,14,3,2,0,14,3,3,1,0,0,0,2,4,1,2,2,1,2,2
200,273,38,1084,29,3,4,54,3,2,4,6261,4185,3,18,3,1,1,9,3,1,7,7,1,7,2,4,5,2,2,1,2,2
201,274,27,472,1,1,3,60,2,2,1,4298,9679,5,19,3,3,1,6,1,3,2,2,2,0,2,4,5,2,2,2,2,2
202,275,49,1002,18,4,4,92,3,2,4,6804,23793,1,15,3,1,2,7,0,3,7,7,1,7,2,4,1,2,3,3,1,2
203,277,34,878,10,4,4,43,3,1,3,3815,5972,1,17,3,4,1,5,4,4,5,3,2,0,2,2,3,2,3,2,1,2
204,281,40,905,19,2,3,99,3,2,4,2741,16523,8,15,3,3,1,15,2,4,7,2,3,7,2,3,3,2,2,1,1,2
205,282,38,1180,29,1,2,70,3,2,1,6673,11354,7,19,3,2,0,17,2,3,1,0,0,0,2,5,3,2,2,1,1,1
206,283,29,121,27,3,2,35,3,3,4,7639,24525,1,22,4,4,3,10,3,2,10,4,1,9,1,1,4,1,2,1,2,1
207,284,22,1136,5,3,4,60,4,1,2,2328,12392,1,16,3,1,1,4,2,2,4,2,2,2,2,2,1,2,3,1,1,2
208,286,36,635,18,1,2,73,3,1,4,2153,7703,1,13,3,1,0,8,2,3,8,1,1,7,2,3,3,1,1,2,2,2
209,287,40,1151,9,5,4,63,2,2,4,4876,14242,9,14,3,4,1,5,5,1,3,2,0,2,2,5,1,2,2,3,2,2
210,288,46,644,1,4,4,97,3,3,1,9396,12368,7,16,3,3,1,17,3,3,4,2,0,3,2,5,3,2,3,1,2,2
211,291,32,1045,4,4,4,32,1,3,4,10400,25812,1,11,3,3,0,14,2,2,14,8,9,8,1,1,3,2,2,1,2,1
212,292,30,829,1,1,3,88,2,3,3,8474,20925,1,22,4,3,0,12,2,3,11,8,5,8,2,4,1,2,1,3,2,2
213,293,27,1242,20,3,4,90,3,2,3,9981,12916,1,14,3,4,0,7,2,3,7,7,0,7,1,1,1,1,1,2,2,2
214,296,51,1469,8,4,2,81,2,3,2,12490,15736,5,16,3,4,2,16,5,1,10,9,4,7,2,8,1,2,2,1,2,2
215,297,30,1005,3,3,4,88,3,1,1,2657,8556,5,11,3,3,0,8,5,3,5,2,0,4,2,2,5,1,1,1,1,1
216,298,41,896,6,3,4,75,3,3,4,13591,14674,3,18,3,3,0,16,3,3,1,0,0,0,1,6,1,1,1,1,1,2
217,299,30,334,26,4,3,52,2,2,1,6696,22967,5,15,3,3,0,9,5,2,6,3,0,1,1,1,4,1,1,2,2,1
218,300,29,992,1,3,3,85,3,1,3,2058,19757,0,14,3,4,0,7,1,2,6,2,1,5,2,2,5,2,1,1,2,1
219,302,45,1052,6,3,4,57,2,3,4,8865,16840,6,12,3,4,0,23,2,3,19,7,12,8,1,1,3,1,1,3,2,2
220,303,54,1147,3,3,4,52,3,2,1,5940,17011,2,14,3,4,1,16,4,3,6,2,0,5,1,1,4,1,2,1,2,2
221,304,36,1396,5,2,4,62,3,2,2,5914,9945,8,16,3,4,0,16,3,4,13,11,3,7,2,3,1,2,1,1,2,2
222,305,33,147,4,4,3,47,2,1,2,2622,13248,6,21,4,4,0,7,3,3,3,2,1,1,2,2,3,1,2,1,2,2
223,306,37,663,11,3,2,47,3,3,4,12185,10056,1,14,3,3,3,10,1,3,10,8,0,7,2,8,2,2,3,2,1,2
224,307,38,119,3,3,1,76,3,3,3,10609,9647,0,12,3,3,2,17,6,2,16,10,5,13,1,1,1,2,3,1,2,2
225,308,31,979,1,4,3,90,1,2,3,4345,4381,0,12,3,4,1,6,2,3,5,4,1,4,2,4,3,2,2,3,2,2
226,309,59,142,3,3,3,70,2,1,4,2177,8456,3,17,3,1,1,7,6,3,1,0,0,0,2,2,1,2,2,1,2,2
227,311,37,319,4,4,1,41,3,1,4,2793,2539,4,17,3,3,1,13,2,3,9,8,5,8,1,7,4,2,3,2,2,2
228,312,29,1413,1,1,2,42,3,3,4,7918,6599,1,14,3,4,1,11,5,3,11,10,4,1,1,1,3,1,2,2,2,2
229,314,35,944,1,3,3,92,3,3,3,8789,9096,1,14,3,1,0,10,3,4,10,7,0,8,1,1,4,1,1,2,2,2
230,315,29,896,18,1,3,86,2,1,4,2389,14961,1,13,3,3,0,4,3,2,4,3,0,1,2,2,3,2,1,1,1,1
231,316,52,1323,2,3,3,89,2,1,4,3212,3300,7,15,3,2,0,6,3,2,2,2,2,2,2,3,1,1,1,1,2,2
232,319,42,532,4,2,3,58,3,5,4,19232,4933,1,11,3,4,0,22,3,3,22,17,11,15,2,6,5,2,2,1,2,2
233,321,59,818,6,2,2,52,3,1,3,2267,25657,8,17,3,4,0,7,2,2,2,2,2,2,3,9,3,2,2,1,2,2
234,323,50,854,1,4,4,68,3,5,4,19517,24118,3,11,3,3,1,32,3,2,7,0,0,6,1,6,3,1,3,1,2,2
235,325,33,813,14,3,3,58,3,1,4,2436,22149,5,13,3,3,1,8,2,1,5,4,0,4,2,3,3,2,2,1,1,1
236,327,43,1034,16,3,4,80,3,4,4,16064,7744,5,22,4,3,1,22,3,3,17,13,1,9,1,6,4,1,2,1,1,2
237,328,33,465,2,2,1,39,3,1,1,2707,21509,7,20,4,1,0,13,3,4,9,7,1,7,2,3,1,1,2,1,2,1
238,329,52,771,2,4,1,79,2,5,3,19068,21030,1,18,3,4,0,33,2,4,33,7,15,12,1,6,1,2,1,3,1,2
239,330,32,1401,4,2,3,56,3,1,2,3931,20990,2,11,3,1,1,6,5,3,4,3,1,2,1,7,1,1,2,1,2,2
240,331,32,515,1,3,4,62,2,1,3,3730,9571,0,14,3,4,0,4,2,1,3,2,1,2,2,3,1,2,1,1,1,1
241,332,39,1431,1,4,3,96,3,1,3,2232,15417,7,14,3,3,3,7,1,3,3,2,1,2,2,3,3,1,3,1,2,2
242,333,32,976,26,4,3,100,3,2,4,4465,12069,0,18,3,1,0,4,2,3,3,2,2,2,1,1,4,2,2,3,2,2
243,334,41,1411,19,2,3,36,3,2,1,3072,19877,2,16,3,1,2,17,2,2,1,0,0,0,2,2,1,2,3,1,2,2
244,335,40,1300,24,2,1,62,3,2,4,3319,24447,1,17,3,1,2,9,3,3,9,8,4,7,2,2,5,2,3,1,2,2
245,336,45,252,1,3,3,70,4,5,4,19202,15970,0,11,3,3,1,25,2,3,24,0,1,7,2,6,2,2,2,1,2,2
246,337,31,1327,3,4,2,73,3,3,3,13675,13523,9,12,3,1,1,9,3,3,2,2,2,2,2,8,3,2,3,2,2,2
247,338,33,832,5,4,3,63,2,1,4,2911,14776,1,13,3,3,1,2,2,2,2,2,0,2,2,2,1,1,2,1,2,2
248,339,34,470,2,4,4,84,2,2,1,5957,23687,6,13,3,2,1,13,3,3,11,9,5,9,2,4,1,2,2,1,2,2
249,340,37,1017,1,2,3,83,2,1,1,3920,18697,2,14,3,1,1,17,2,2,3,1,0,2,2,2,3,1,2,1,2,2
250,341,45,1199,7,4,1,77,4,2,3,6434,5118,4,17,3,4,1,9,1,3,3,2,0,2,2,4,1,2,2,2,2,2
251,342,37,504,10,3,1,61,3,3,3,10048,22573,6,11,3,2,2,17,5,3,1,0,0,0,2,4,3,2,3,2,2,1
252,343,39,505,2,4,3,64,3,3,3,10938,6420,0,25,4,4,0,20,1,3,19,6,11,8,2,5,5,1,1,2,2,2
253,346,29,665,15,3,3,60,3,1,4,2340,22673,1,19,3,1,0,6,1,3,6,5,1,5,2,2,1,2,1,1,2,2
254,347,42,916,17,2,4,82,4,2,1,6545,23016,3,13,3,3,0,10,1,3,3,2,0,2,2,2,1,1,1,1,1,2
255,349,29,1247,20,2,4,45,3,2,4,6931,10732,2,14,3,4,1,10,2,3,3,2,0,2,1,1,4,2,3,1,2,2
256,350,25,685,1,3,1,62,3,2,3,4898,7505,0,12,3,4,2,5,3,3,4,2,1,2,2,4,1,1,2,1,2,2
257,351,42,269,2,3,4,56,2,1,1,2593,8007,0,11,3,3,1,10,4,3,9,6,7,8,2,3,3,1,3,1,1,2
258,352,40,1416,2,2,1,49,3,5,3,19436,5949,0,19,3,4,1,22,5,3,21,7,3,9,2,8,3,2,3,1,2,2
259,353,51,833,1,3,3,96,3,1,4,2723,23231,1,11,3,2,0,1,0,2,1,0,0,0,2,2,1,2,2,1,2,2
260,355,31,307,29,2,3,71,2,1,2,3479,11652,0,11,3,2,0,6,2,4,5,4,1,4,2,3,3,2,1,2,2,1
261,359,32,1311,7,3,2,100,4,1,2,2794,26062,1,20,4,3,0,5,3,1,5,1,0,3,2,3,1,2,2,2,2,2
262,361,38,1327,2,2,4,39,2,2,4,5249,19682,3,18,3,4,1,13,0,3,8,7,7,5,1,1,1,2,2,3,2,2
263,362,32,128,2,1,4,84,2,2,1,2176,19737,4,13,3,4,0,9,5,3,6,2,0,4,2,3,5,2,1,1,2,2
264,363,46,488,2,3,3,75,1,4,2,16872,14977,3,12,3,2,1,28,2,2,7,7,7,7,1,6,5,1,2,1,1,2
265,364,28,529,2,4,1,79,3,1,3,3485,14935,2,11,3,3,0,5,5,1,0,0,0,0,2,3,1,2,1,1,2,1
266,366,29,1210,2,3,1,78,2,2,2,6644,3687,2,19,3,2,2,10,2,3,0,0,0,0,1,1,3,2,2,1,2,2
267,367,31,1463,23,3,2,64,2,2,4,5582,14408,0,21,4,2,1,10,2,3,9,0,7,8,2,5,3,2,2,1,2,2
268,369,25,675,5,2,2,85,4,2,1,4000,18384,1,12,3,4,2,6,2,3,6,3,1,5,2,5,1,2,3,3,2,2
269,372,45,1385,20,2,3,79,3,4,4,13496,7501,0,14,3,2,0,21,2,3,20,7,4,10,2,5,3,2,2,1,1,2
270,373,36,1403,6,3,4,47,3,1,4,3210,20251,0,11,3,3,1,16,4,3,15,13,10,11,2,3,1,2,2,1,2,2
271,374,55,452,1,3,4,81,3,5,1,19045,18938,0,14,3,3,0,37,2,3,36,10,4,13,2,6,3,2,1,1,1,2
272,376,47,666,29,4,1,88,3,3,2,11849,10268,1,12,3,4,1,10,2,2,10,7,9,9,2,6,1,2,2,3,1,1
273,377,28,1158,9,3,4,94,3,1,4,2070,2613,1,23,4,4,1,5,3,2,5,2,0,4,2,2,3,2,2,1,2,2
274,378,37,228,6,4,3,98,3,2,4,6502,22825,4,14,3,2,1,7,5,4,5,4,0,1,1,1,3,2,2,1,2,2
275,379,21,996,3,2,4,100,2,1,3,3230,10531,1,17,3,1,0,3,4,4,3,2,1,0,2,2,3,2,1,1,2,2
276,380,37,728,1,4,1,80,3,3,4,13603,11677,2,18,3,1,2,15,2,3,5,2,0,2,2,8,3,1,3,3,1,2
277,381,35,1315,22,3,2,71,4,3,2,11996,19100,7,18,3,2,1,10,6,2,7,7,6,2,2,6,1,1,3,1,2,2
278,382,38,322,7,2,1,44,4,2,1,5605,19191,1,24,4,3,1,8,3,3,8,0,7,7,1,1,3,1,3,1,1,2
279,384,26,1479,1,3,3,84,3,2,2,6397,26767,1,20,4,1,1,6,6,1,6,5,1,4,2,4,1,1,3,2,2,2
280,385,50,797,4,1,1,96,3,5,2,19144,15815,3,14,3,1,2,28,4,2,10,4,1,6,2,8,1,2,3,1,2,2
281,386,53,1070,3,4,3,45,3,4,3,17584,21016,3,16,3,4,3,21,5,2,5,3,1,3,2,8,3,2,2,1,1,2
282,387,42,635,1,1,2,99,3,2,3,4907,24532,1,25,4,3,0,20,3,3,20,16,11,6,1,1,1,2,2,1,2,2
283,388,29,442,2,2,2,44,3,2,4,4554,20260,1,18,3,1,0,10,3,2,10,7,0,9,1,1,1,2,1,2,2,2
284,389,55,147,20,2,2,37,3,2,4,5415,15972,3,19,3,4,1,12,4,3,10,7,0,8,2,3,5,2,2,1,1,2
285,390,26,496,11,2,1,60,3,2,1,4741,22722,1,13,3,3,1,5,3,3,5,3,3,3,2,5,3,2,2,2,1,2
286,391,37,1372,1,3,4,42,3,1,4,2115,15881,1,12,3,2,0,17,3,3,17,12,5,7,2,2,1,1,1,1,2,2
287,392,44,920,24,3,4,43,3,1,3,3161,19920,3,22,4,4,1,19,0,1,1,0,0,0,2,3,1,2,3,2,1,1
288,393,38,688,23,4,4,82,3,2,4,5745,18899,9,14,3,2,1,10,2,3,2,2,1,2,2,5,1,2,3,1,2,2
289,394,26,1449,16,4,1,45,3,1,2,2373,14180,2,13,3,4,1,5,2,3,3,2,0,2,2,3,3,2,3,1,1,1
290,395,28,1117,8,2,4,66,3,1,4,3310,4488,1,21,4,4,0,5,3,3,5,3,0,2,2,2,1,1,1,1,2,2
291,396,49,636,10,4,3,35,3,5,1,18665,25594,9,11,3,4,0,22,4,3,3,2,1,2,2,8,1,1,1,2,1,2
292,397,36,506,3,3,3,30,3,2,2,4485,26285,4,12,3,4,0,10,2,3,8,0,7,7,2,2,5,2,1,1,2,2
293,399,31,444,5,3,4,84,3,1,2,2789,3909,1,11,3,3,1,2,5,2,2,2,2,2,1,7,4,1,3,2,2,2
294,401,26,950,4,4,4,48,2,2,4,5828,8450,1,12,3,2,0,8,0,3,8,7,7,4,1,1,4,2,1,1,1,1
295,403,37,889,9,3,2,53,3,1,4,2326,11411,1,12,3,3,3,4,3,2,4,2,1,2,2,2,3,2,2,2,1,2
296,404,42,555,26,3,3,77,3,4,2,13525,14864,5,14,3,4,1,23,2,4,20,4,4,8,1,1,4,1,2,2,2,2
297,405,18,230,3,3,3,54,3,1,3,1420,25233,1,13,3,3,0,0,2,3,0,0,0,0,2,3,1,2,1,1,2,1
298,406,35,1232,16,3,3,96,3,3,2,8020,5100,0,15,3,3,2,12,3,2,11,9,6,9,1,1,4,2,2,1,2,2
299,407,36,566,18,4,3,81,4,1,4,3688,7122,4,18,3,4,2,4,2,3,1,0,0,0,2,3,1,2,2,2,2,2
300,408,51,1302,2,3,4,84,1,2,2,5482,16321,5,18,3,4,1,13,3,3,4,1,1,2,2,4,3,2,3,1,2,2
301,410,41,334,2,4,4,88,3,4,2,16015,15896,1,19,3,2,0,22,2,3,22,10,0,4,1,6,1,2,1,1,2,2
302,411,18,812,10,3,4,69,2,1,3,1200,9724,1,12,3,1,0,0,2,3,0,0,0,0,1,7,3,1,1,1,2,2
303,412,28,1476,16,2,2,68,4,2,1,5661,4824,0,19,3,3,0,9,2,3,8,3,0,7,2,5,3,2,1,1,2,2
304,416,31,218,7,3,2,100,4,2,4,6929,12241,4,11,3,2,1,10,3,2,8,7,7,7,1,1,5,2,2,1,2,2
305,417,39,1132,1,3,3,48,4,3,4,9613,10942,0,17,3,1,3,19,5,2,18,10,3,7,2,5,3,2,3,1,2,2
306,419,36,1105,24,4,2,47,3,2,2,5674,6927,7,15,3,3,1,11,3,3,9,8,0,8,2,3,1,1,2,3,2,2
307,420,32,906,7,3,4,91,2,2,3,5484,16985,1,14,3,3,1,13,3,2,13,8,4,8,1,1,1,2,2,1,2,2
308,421,38,849,25,2,1,81,2,3,2,12061,26707,3,17,3,3,1,19,2,3,10,8,0,1,2,8,1,1,2,1,2,2
309,422,58,390,1,4,4,32,1,2,3,5660,17056,2,13,3,4,1,12,2,3,5,3,1,2,2,5,1,2,3,3,1,2
310,423,31,691,5,4,3,86,3,1,4,4821,10077,0,12,3,3,1,6,4,3,5,2,0,3,2,2,5,2,2,1,1,2
311,424,31,106,2,3,1,62,2,2,1,6410,17822,3,12,3,4,0,9,1,3,2,2,1,0,3,9,6,2,2,1,2,2
312,425,45,1249,7,3,1,97,3,3,1,5210,20308,1,18,3,1,1,24,2,3,24,9,9,11,2,3,1,2,3,2,2,2
313,426,31,192,2,4,3,32,3,1,4,2695,7747,0,18,3,2,1,3,2,1,2,2,2,2,2,2,1,2,3,1,1,2
314,428,33,553,5,4,4,74,3,3,2,11878,23364,6,11,3,2,2,12,2,3,10,6,8,8,2,6,1,1,2,2,2,2
315,429,39,117,10,1,3,99,3,4,1,17068,5355,1,14,3,4,0,21,3,3,21,9,11,10,2,6,3,2,2,1,1,2
316,430,43,185,10,4,3,33,3,1,4,2455,10675,0,19,3,1,0,9,5,3,8,7,1,7,2,3,1,1,1,2,2,2
317,431,49,1091,1,2,3,90,2,4,3,13964,17810,7,12,3,4,0,25,2,3,7,1,0,7,2,5,5,1,1,1,1,2
318,433,52,723,8,4,3,85,2,2,2,4941,17747,2,15,3,1,0,11,3,2,8,2,7,7,2,2,3,2,2,1,2,1
319,434,27,1220,5,3,3,85,3,1,2,2478,20938,1,12,3,2,0,4,2,2,4,3,1,2,2,2,1,1,1,1,1,2
320,436,32,588,8,2,3,65,2,2,2,5228,24624,1,11,3,4,0,13,2,3,13,12,11,9,1,1,5,1,2,1,1,2
321,437,27,1377,2,3,4,74,3,2,3,4478,5242,1,11,3,1,0,5,3,3,5,4,0,4,1,1,1,2,1,1,1,2
322,438,31,691,7,3,4,73,3,2,4,7547,7143,4,12,3,4,3,13,3,3,7,7,1,7,1,1,4,2,3,1,2,2
323,439,32,1018,2,4,1,74,4,2,4,5055,10557,7,16,3,3,0,10,0,2,7,7,0,7,2,2,3,1,1,1,2,2
324,440,28,1157,2,4,1,84,1,1,4,3464,24737,5,13,3,4,0,5,4,2,3,2,2,2,2,2,3,2,2,1,1,1
325,441,30,1275,28,2,4,64,3,2,4,5775,11934,1,13,3,4,2,11,2,3,10,8,1,9,2,2,3,1,2,1,2,2
326,442,31,798,7,2,3,48,2,3,3,8943,14034,1,24,4,1,1,10,2,3,10,9,8,9,2,4,1,1,2,2,2,2
327,444,39,672,7,2,3,54,2,5,4,19272,21141,1,15,3,1,1,21,2,3,21,9,13,3,2,6,3,2,2,2,2,2
328,445,39,1162,3,2,4,41,3,2,3,5238,17778,4,18,3,1,0,12,3,2,1,0,0,0,1,1,3,1,2,1,1,1
329,446,33,508,10,3,2,46,2,2,4,4682,4317,3,14,3,3,0,9,6,2,7,7,0,1,1,1,4,2,1,2,2,2
330,447,47,1482,5,5,4,42,3,5,3,18300,16375,4,11,3,2,1,21,2,3,3,2,1,1,2,8,1,2,2,1,2,2
331,448,43,559,10,4,3,82,2,2,3,5257,6227,1,11,3,2,1,9,3,4,9,7,0,0,2,3,1,1,3,2,2,2
332,449,27,210,1,1,3,73,3,2,2,6349,22107,0,13,3,4,1,6,0,3,5,4,1,4,1,1,4,2,2,3,1,2
333,450,54,928,20,4,4,31,3,2,3,4869,16885,3,12,3,4,0,20,4,2,4,3,0,3,2,2,1,1,1,2,2,2
334,451,43,1001,7,3,3,43,3,3,1,9985,9262,8,16,3,1,1,10,1,2,1,0,0,0,2,5,1,1,2,1,2,2
335,452,45,549,8,4,4,75,3,2,4,3697,9278,9,14,3,1,2,12,3,3,10,9,9,8,2,2,2,2,2,1,2,2
336,453,40,1124,1,2,2,57,1,2,4,7457,13273,2,22,4,3,3,6,2,2,4,3,0,2,1,1,3,2,2,1,1,2
337,454,29,318,8,4,2,77,1,1,1,2119,4759,1,11,3,4,0,7,4,2,7,7,0,7,2,3,2,2,2,1,1,1
338,455,29,738,9,5,2,30,2,1,4,3983,7621,0,17,3,3,0,4,2,3,3,2,2,2,2,3,2,2,1,1,2,2
339,456,30,570,5,3,4,30,2,2,3,6118,5431,1,13,3,3,3,10,2,3,10,9,1,2,1,1,4,1,3,1,2,2
340,458,27,1130,8,4,2,56,3,2,2,6214,3415,1,18,3,1,1,8,3,3,8,7,0,7,1,1,4,1,2,1,2,2
341,460,37,1192,5,2,4,61,3,2,4,6347,23177,7,16,3,3,2,8,2,2,6,2,0,4,2,4,3,2,3,1,2,2
342,461,38,343,15,2,3,92,2,3,4,11510,15682,0,14,3,2,1,12,3,3,11,10,2,9,2,8,1,2,3,1,1,2
343,462,31,1232,7,4,3,39,3,3,4,7143,25713,1,14,3,3,0,11,2,2,11,9,4,10,2,4,3,1,1,1,1,2
344,463,29,144,10,1,4,39,2,2,2,8268,11866,1,14,3,1,2,7,2,3,7,7,1,7,1,1,4,1,3,1,1,2
345,464,35,1296,5,4,3,62,3,3,2,8095,18264,0,13,3,4,0,17,5,3,16,6,0,13,2,4,5,2,1,1,2,2
346,465,23,1309,26,1,3,83,3,1,4,2904,16092,1,12,3,3,2,4,2,2,4,2,0,2,2,2,1,2,3,1,2,2
347,466,41,483,6,3,4,95,2,2,2,6032,10110,6,15,3,4,0,8,3,3,5,4,1,2,2,4,3,2,1,1,1,2
348,467,47,1309,4,1,2,99,3,2,3,2976,25751,3,19,3,1,0,5,3,3,0,0,0,0,1,7,3,2,1,2,2,2
349,468,42,810,23,5,1,44,3,4,4,15992,15901,2,14,3,2,0,16,2,3,1,0,0,0,2,8,1,1,1,1,2,2
350,469,29,746,2,3,4,61,3,2,3,4649,16928,1,14,3,1,1,4,3,2,4,3,0,2,1,1,1,2,2,3,2,2
351,470,42,544,2,1,3,52,3,1,3,2696,24017,0,11,3,3,1,4,5,3,3,2,1,0,3,9,5,2,3,1,1,2
352,471,32,1062,2,3,3,75,3,1,2,2370,3956,1,13,3,3,1,8,4,3,8,0,0,7,2,3,3,1,2,1,2,2
353,473,48,530,29,1,1,91,3,3,3,12504,23978,3,21,4,2,1,15,3,1,0,0,0,0,1,6,3,1,2,1,2,2
354,474,37,1319,6,3,3,51,4,2,1,5974,17001,4,13,3,1,2,13,2,3,7,7,6,7,2,2,3,2,3,1,1,2
355,475,30,641,25,2,4,85,3,2,3,4736,6069,7,12,3,2,1,4,2,4,2,2,2,2,1,1,5,1,2,3,1,2
356,476,26,933,1,3,3,57,3,2,3,5296,20156,1,17,3,2,1,8,3,3,8,7,7,7,1,1,1,2,2,1,2,2
357,477,42,1332,2,4,1,98,2,2,4,6781,17078,3,23,4,2,0,14,6,3,1,0,0,0,2,5,2,2,1,1,2,2
358,478,21,756,1,1,1,99,2,1,2,2174,9150,1,11,3,3,0,3,3,3,3,2,1,2,1,7,5,1,1,2,1,1
359,479,36,845,1,5,4,45,3,2,4,6653,15276,4,15,3,2,0,7,6,3,1,0,0,0,1,1,3,1,1,3,2,2
360,481,36,541,3,4,1,48,2,3,4,9699,7246,4,11,3,1,1,16,2,3,13,9,1,12,1,1,3,2,2,2,2,2
361,482,57,593,1,4,4,88,3,2,3,6755,2967,2,11,3,3,0,15,2,3,3,2,1,2,2,5,3,2,2,1,2,2
362,483,40,1171,10,4,4,46,4,1,3,2213,22495,3,13,3,3,1,10,3,3,7,7,1,7,2,3,1,1,2,1,1,2
363,484,21,895,9,2,1,39,3,1,4,2610,2851,1,24,4,3,0,3,3,2,3,2,2,2,1,7,3,2,1,3,2,2
364,485,33,350,5,3,4,34,3,1,3,2851,9150,1,13,3,2,0,1,2,3,1,0,0,0,1,7,4,1,1,1,1,1
365,486,37,921,10,3,3,98,3,1,1,3452,17663,6,20,4,2,1,17,3,3,5,4,0,3,2,3,3,1,2,1,2,2
366,487,46,1144,7,4,3,30,3,2,3,5258,16044,2,14,3,3,0,7,2,4,1,0,0,0,2,4,3,1,2,3,2,2
367,488,41,143,4,3,1,56,3,2,2,9355,9558,1,18,3,3,0,8,5,3,8,7,7,7,1,1,4,2,1,2,2,1
368,491,50,1046,10,3,4,100,2,3,4,10496,2755,6,15,3,4,0,20,2,3,4,3,1,3,2,5,5,2,1,1,2,2
369,492,40,575,22,2,3,68,2,2,3,6380,6110,2,12,3,1,2,8,6,3,6,4,1,0,1,1,4,2,2,1,1,1
370,493,31,408,9,4,3,42,2,1,2,2657,7551,0,16,3,4,0,3,5,3,2,2,2,2,2,2,1,2,1,1,1,2
371,494,21,156,12,3,3,90,4,1,2,2716,25422,1,15,3,4,0,1,0,3,1,0,0,0,1,7,1,1,1,1,2,1
372,495,29,1283,23,3,4,54,3,1,4,2201,18168,9,16,3,4,0,6,4,3,3,2,1,2,2,2,1,2,1,1,2,2
373,496,35,755,9,4,3,97,2,2,2,6540,19394,9,19,3,3,0,10,5,3,1,1,0,0,2,5,1,2,1,1,2,2
374,497,27,1469,1,2,4,82,3,1,2,3816,17881,1,11,3,2,1,5,2,3,5,2,0,4,2,3,3,2,3,1,2,2
375,498,28,304,9,4,2,92,3,2,4,5253,20750,1,16,3,4,0,7,1,3,7,5,0,7,1,1,1,2,1,1,2,2
376,499,49,1261,7,3,2,31,2,3,3,10965,12066,8,24,4,3,0,26,2,3,5,2,0,0,2,5,2,2,1,1,2,2
377,500,51,1178,14,2,3,87,3,2,4,4936,14862,4,11,3,3,1,18,2,2,7,7,0,7,1,1,1,1,2,1,2,2
378,501,36,329,2,3,4,96,3,1,3,2543,11868,4,13,3,2,1,6,3,3,2,2,2,2,2,2,1,1,2,1,2,2
379,502,34,1362,19,3,1,67,4,2,4,5304,4652,8,13,3,2,0,9,3,2,5,2,0,4,1,1,4,2,1,3,1,1
380,505,55,1311,2,3,3,97,3,4,4,16659,23258,2,13,3,3,0,30,2,3,5,4,1,2,2,6,1,1,1,1,1,2
381,507,24,1371,10,4,4,77,3,2,3,4260,5915,1,12,3,4,1,5,2,4,5,2,0,3,1,1,4,1,3,1,1,2
382,508,30,202,2,1,3,72,3,1,2,2476,17434,1,18,3,1,1,1,3,3,1,0,0,0,1,7,5,2,2,1,2,2
383,510,26,575,3,1,3,73,3,1,1,3102,6582,0,22,4,3,0,7,2,3,6,4,0,4,2,2,5,2,1,2,2,1
384,511,22,253,11,3,1,43,3,1,2,2244,24440,1,13,3,4,1,2,1,3,2,1,1,2,2,2,3,1,2,1,2,2
385,513,36,164,2,2,2,61,2,3,3,7596,3809,1,13,3,2,2,10,2,3,10,9,9,0,1,1,3,2,2,1,2,2
386,514,30,464,4,3,3,40,3,1,4,2285,3427,9,23,4,3,0,3,4,3,1,0,0,0,2,2,5,2,1,2,1,1
387,515,37,1107,14,3,4,95,3,1,1,3034,26914,1,12,3,3,1,18,2,2,18,7,12,17,2,3,1,1,3,1,2,2
388,516,40,759,2,2,4,46,3,2,2,5715,22553,7,12,3,3,2,8,5,3,5,4,1,3,1,1,4,1,3,1,2,2
389,517,42,201,1,4,2,95,3,1,1,2576,20490,3,16,3,2,1,8,5,3,5,2,1,2,2,3,1,1,3,1,2,2
390,518,37,1305,10,4,3,49,3,2,2,4197,21123,2,12,3,4,0,18,2,2,1,0,0,1,2,4,1,2,1,1,1,2
391,520,43,982,12,3,1,59,2,4,2,14336,4345,1,11,3,3,1,25,3,3,25,10,3,9,2,8,1,2,3,1,2,2
392,521,40,555,2,3,2,78,2,2,3,3448,13436,6,22,4,2,1,20,3,3,1,0,0,0,2,3,3,1,2,1,2,2
393,522,54,821,5,2,1,86,3,5,1,19406,8509,4,11,3,3,1,24,4,2,4,2,1,2,2,8,3,2,2,1,2,2
394,523,34,1381,4,4,3,72,3,2,3,6538,12740,9,15,3,1,1,6,3,3,3,2,1,2,1,1,4,1,2,3,2,2
395,524,31,480,7,2,2,31,3,2,1,4306,4156,1,12,3,2,1,13,5,1,13,10,3,12,2,4,3,1,2,1,2,2
396,525,43,313,21,3,4,61,3,1,4,2258,15238,7,20,4,1,1,8,1,3,3,2,1,2,2,3,3,2,2,2,2,2
